"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Chhattisgarh State Warehousing Corporation","CGSWC Pali (saila)","7018534","saila,","Korba","CHHATTISGARH","7748","07-Feb-2025","06-Feb-2030","9926787701","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC BODLA (Singhari)","7076854","Singhari, Bodla, Kawardha,","Kabeerdham","CHHATTISGARH","4819","24-Apr-2025","23-Apr-2030","9826518511","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC,DEVBHOG (Mundagaon)","7081268","Urmal road mundgaon devbhog,","Raipur","CHHATTISGARH","4176","28-Apr-2025","27-Apr-2030","9926162125","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC MANPUR (Tumdikasa)","7080997","Khadgaon Road Tumdikasa,Manpur,","Rajnandgaon","CHHATTISGARH","3600","28-Apr-2025","27-Apr-2030","9479262917","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC,Gundardehi (Matewa)","7080369","Somni Road Matewa,","Durg","CHHATTISGARH","4176","28-Apr-2025","27-Apr-2030","9806820020","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Arang (Amethi Parisar)","7080906","Amethi Road Arang,","Raipur","CHHATTISGARH","10800","28-Apr-2025","27-Apr-2030","8770165149","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC BERLA (Sondh)","7080278","Sondha, Berla,","Durg","CHHATTISGARH","7200","28-Apr-2025","27-Apr-2030","9479032891","Active",""
"Harekrishna Rice Expo Private Limited","HAREKRISHNA RICE EXPO PRIVATE LIMITED","7083330","VILLAGE- GHIVRA, JANPAD- KHARORA, DISTRICT- RAIPUR","Raipur","CHHATTISGARH","3308","30-Apr-2025","29-Apr-2030","8120001050","Active",""
"HEMLATA SEKSARIA","SHRI RADHA KISHAN LOGISTICS","6919625","KH NO 49/1, PH NO - 2 SILODA,","Durg","CHHATTISGARH","3878","23-Apr-2024","22-Apr-2029","9826138331","Active",""
"Hitesh Agrawal","HITESH AGRAWAL","6945729","GHOT ROAD PARAGAON, NAWAPARA RAJIM","Raipur","CHHATTISGARH","23080","18-Jun-2024","17-Jun-2029","8817443870","Active",""
"J P Agrawal and Sons Cold Storage Pvt Ltd","J P Agrawal and Sons Cold Storage Pvt Ltd","6576367","Plot no.40, Anjani Industrial Area, Pendra","Bilaspur","CHHATTISGARH","8000","23-May-2022","22-May-2027","6264231881","Active",""
"SANJAY GRAIN PRODUCTS PRIVATE LIMITED","SANJAY GRAIN PRODUCTS PRIVATE LIMITED","6950315","VILLAGE SAKRI, RAIPUR,","Raipur","CHHATTISGARH","2711","26-Jun-2024","25-Jun-2029","8435322322","Active",""
"SHREE SITA AGRICULTURE MARKETING PVT LTD","SHREE SITA AGRICULTURE MARKETING PVT.LTD.","6548465","VILLAGE - JEORA DHAMDHA ROAD,","Durg","CHHATTISGARH","10000","05-Jan-2022","04-Jan-2027","9425239990","Active",""
